clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
T;0;0;27;0;24;85;10;10;1;50;14;1;0;8
T;0;0;5;1;6;22;18;17;1;16;30;2;2;0
F;0;0;2;0;0;0;43;43;0;0;5;2;0;0
F;0;0;0;0;0;0;2;2;0;0;0;0;0;0
T;1;0;15;1;8;63;8;8;0;19;23;1;0;4
T;0;0;1;1;1;1;14;14;2;0;0;1;0;0
F;0;0;2;0;1;4;4;4;0;0;4;1;0;1
T;0;0;1;3;4;4;36;36;2;0;90;5;5;1
T;0;0;7;0;1;2;52;52;3;0;14;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;6;2;4;9;50;49;0;5;12;3;1;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;26;26;4;0;28;5;2;0
F;0;1;5;0;4;12;16;16;0;8;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;9;0;4;19;1;1;0;6;0;5;1;3
T;0;1;18;1;7;12;22;22;5;1;36;6;2;3
T;0;0;4;1;1;8;13;13;0;1;1;0;0;1
F;0;0;0;0;0;0;16;16;0;0;2;0;0;0
F;0;0;1;0;1;1;3;3;1;0;14;3;1;0
T;2;4;76;0;73;123;75;75;8;39;165;4;4;6
T;0;0;11;2;3;7;30;30;0;0;2;4;1;2
T;0;1;26;2;6;22;45;45;7;12;56;4;0;0
T;0;0;26;1;41;802;16;16;1;38;36;0;1;1
F;1;1;1;0;0;0;0;0;0;0;1;0;0;0
T;0;0;5;1;0;15;35;35;4;11;35;4;0;0
T;0;0;9;1;2;15;26;26;1;3;37;0;0;1
T;1;0;0;0;0;0;8;8;4;0;0;2;1;0
F;0;0;0;0;0;0;7;7;2;0;1;0;0;0
T;0;0;9;1;3;16;30;30;3;3;13;3;1;3
T;0;0;4;0;4;5;24;24;0;0;0;1;0;2
