edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
1;0;0;0;0;0;4;4;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1;0;0;7;7;2;0;2;1;0;0
0;1;6;0;2;7;27;27;4;7;6;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;5;0;39;55;7;7;3;19;3;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;8;8;3;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;5;0;4;5;41;41;1;0;40;0;0;2
0;0;1;0;0;0;2;2;1;0;2;0;0;0
0;0;0;0;0;0;7;7;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;24;0;11;77;25;25;1;58;21;6;1;5
4;0;13;2;24;29;28;28;2;23;34;13;10;13
0;0;5;0;5;14;2;2;1;5;7;0;1;0
1;0;3;1;0;1;8;8;4;0;25;3;0;0
0;0;1;0;0;0;16;16;0;0;0;0;0;0
2;0;18;0;17;58;41;41;4;16;29;6;3;14
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;9;9;3;0;9;0;0;0
0;0;3;0;1;2;8;8;7;0;22;1;1;0
0;0;3;3;0;2;22;22;1;0;0;1;1;0
1;1;31;1;13;73;6;6;0;33;54;26;11;6
1;0;1;0;0;1;7;7;1;0;0;2;1;0
0;0;2;0;7;20;11;11;1;13;2;1;0;0
2;0;11;0;20;51;3;3;3;23;16;2;0;1
0;0;0;0;0;0;44;44;3;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;0;0;0;2;2;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;6;0;3;45;30;30;3;13;3;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;23;23;0;0;0;0;0;0
1;0;6;0;0;0;0;0;0;0;9;0;0;0
1;0;10;1;10;34;13;13;3;19;2;2;0;3
0;0;4;0;2;5;8;8;1;0;0;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;4;0;0;0;0;0;0
